epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,404.054,0.8667,0.99258,1.40172,0.82401,0.83971,0.92418,0.77199,0.75623,1.06708,1.32422,0.000699312,0.000699312,0.000699312
91,408.298,0.8249,0.95342,1.37802,0.87292,0.80468,0.91711,0.8239,0.62327,1.07359,1.26784,0.000693125,0.000693125,0.000693125
92,412.576,0.85544,0.94101,1.3816,0.85833,0.86764,0.92805,0.79848,0.70929,0.96407,1.29399,0.000686937,0.000686937,0.000686937
93,416.837,0.8655,1.00535,1.38691,0.88907,0.86699,0.92444,0.81258,0.63583,0.89944,1.28144,0.00068075,0.00068075,0.00068075
94,421.15,0.86092,0.95535,1.41355,0.85649,0.86995,0.92244,0.80473,0.66307,0.90581,1.2672,0.000674562,0.000674562,0.000674562
95,425.427,0.89146,1.0024,1.43017,0.89088,0.77166,0.9026,0.77906,0.72474,1.07009,1.28858,0.000668375,0.000668375,0.000668375
96,429.74,0.86186,0.929,1.3714,0.88164,0.80208,0.9033,0.74617,0.77029,1.04405,1.38,0.000662188,0.000662188,0.000662188
97,434.082,0.89783,0.97624,1.42548,0.72571,0.91562,0.90466,0.70554,0.97753,1.03509,1.38782,0.000656,0.000656,0.000656
98,438.391,0.92611,0.94053,1.42456,0.6987,0.875,0.87186,0.69183,0.7969,1.10306,1.33314,0.000649813,0.000649813,0.000649813
99,442.763,0.83814,0.93348,1.38018,0.80647,0.84679,0.92577,0.80278,0.61916,0.9477,1.3007,0.000643625,0.000643625,0.000643625
100,447.063,0.89234,0.96432,1.43779,0.78453,0.87847,0.9203,0.75981,0.72375,0.96734,1.28877,0.000637437,0.000637437,0.000637437
101,451.357,0.9237,0.92641,1.37894,0.83008,0.80074,0.89957,0.74737,0.68308,1.04017,1.29853,0.00063125,0.00063125,0.00063125
102,455.664,0.85525,0.88834,1.34703,0.83535,0.78531,0.8808,0.75435,0.76941,1.08941,1.37621,0.000625062,0.000625062,0.000625062
103,460.015,0.8647,0.92855,1.38318,0.71323,0.90162,0.92671,0.82532,0.63017,1.07427,1.22933,0.000618875,0.000618875,0.000618875
104,464.349,0.8473,0.91659,1.35798,0.88096,0.85209,0.932,0.78565,0.77085,0.99767,1.28544,0.000612687,0.000612687,0.000612687
105,468.64,0.8068,0.86295,1.34122,0.88321,0.84022,0.92367,0.78143,0.70995,1.01409,1.33437,0.0006065,0.0006065,0.0006065
106,472.956,0.81517,0.89339,1.34507,0.8807,0.78588,0.93743,0.80083,0.70922,0.96537,1.26103,0.000600313,0.000600313,0.000600313
107,477.238,0.82194,0.92436,1.36975,0.83343,0.88722,0.94737,0.82802,0.68658,0.8806,1.25162,0.000594125,0.000594125,0.000594125
108,481.516,0.78341,0.8591,1.31623,0.88756,0.77439,0.94372,0.81774,0.68051,1.04409,1.27879,0.000587938,0.000587938,0.000587938
109,485.861,0.76851,0.85676,1.31896,0.83467,0.93291,0.9646,0.84117,0.65923,0.91586,1.2474,0.00058175,0.00058175,0.00058175
110,490.154,0.80558,0.85452,1.33248,0.89721,0.85458,0.94697,0.83306,0.62755,0.98598,1.24636,0.000575563,0.000575563,0.000575563
111,494.489,0.74273,0.81438,1.29362,0.94762,0.85471,0.96664,0.83024,0.69036,0.89608,1.23153,0.000569375,0.000569375,0.000569375
112,498.81,0.83389,0.90822,1.36065,0.9649,0.90341,0.96999,0.82643,0.67281,0.80737,1.21789,0.000563187,0.000563187,0.000563187
113,503.086,0.72396,0.77477,1.26738,0.92626,0.91837,0.96577,0.79633,0.69677,0.82224,1.24791,0.000557,0.000557,0.000557
114,507.305,0.80725,0.87219,1.34081,0.82149,0.86563,0.92409,0.82439,0.60209,0.93779,1.23884,0.000550813,0.000550813,0.000550813
115,511.559,0.80535,0.85931,1.33133,0.76802,0.83082,0.91293,0.81582,0.61496,1.12521,1.23002,0.000544625,0.000544625,0.000544625
116,515.783,0.7393,0.80722,1.33366,0.9213,0.86392,0.94552,0.83551,0.57648,0.80364,1.19108,0.000538438,0.000538438,0.000538438
117,520.02,0.77694,0.84802,1.32645,0.92751,0.89449,0.95111,0.78672,0.70486,0.81494,1.25009,0.00053225,0.00053225,0.00053225
118,524.258,0.75997,0.8679,1.30824,0.93541,0.88973,0.96806,0.87151,0.59995,0.8057,1.19707,0.000526063,0.000526063,0.000526063
119,528.517,0.75973,0.78587,1.29859,0.92679,0.87047,0.95921,0.86199,0.59511,0.82269,1.20265,0.000519875,0.000519875,0.000519875
