epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,993.29,0.56325,0.54988,1.15782,0.9746,0.93349,0.99003,0.94172,0.45586,0.47019,0.99445,0.000179563,0.000179563,0.000179563
175,999.277,0.55189,0.52268,1.14853,0.96861,0.93441,0.98852,0.95231,0.44215,0.47318,0.98641,0.000173375,0.000173375,0.000173375
176,1005.13,0.57766,0.54711,1.16819,0.96286,0.92324,0.98597,0.94367,0.46212,0.50223,1.00221,0.000167188,0.000167188,0.000167188
177,1010.96,0.5738,0.58231,1.17733,0.96883,0.92367,0.98622,0.93444,0.47061,0.51769,1.0148,0.000161,0.000161,0.000161
178,1016.75,0.58729,0.60098,1.18777,0.95541,0.93394,0.9868,0.94744,0.47257,0.53068,1.01595,0.000154812,0.000154812,0.000154812
179,1022.46,0.59316,0.5617,1.18318,0.96243,0.93792,0.98582,0.92977,0.48654,0.5376,1.01646,0.000148625,0.000148625,0.000148625
180,1028.32,0.55097,0.5221,1.15934,0.95371,0.94326,0.98701,0.93982,0.45954,0.50317,0.99158,0.000142437,0.000142437,0.000142437
181,1034.32,0.54388,0.52532,1.1491,0.96164,0.93972,0.98753,0.94176,0.42952,0.46932,0.97506,0.00013625,0.00013625,0.00013625
182,1040.29,0.55633,0.52717,1.17062,0.96339,0.93758,0.98682,0.94155,0.43402,0.48231,0.96952,0.000130062,0.000130062,0.000130062
183,1046.14,0.55932,0.52902,1.15226,0.9624,0.93381,0.98739,0.94415,0.45503,0.49706,0.9723,0.000123875,0.000123875,0.000123875
